Identifier,"Source String",Translation,Context,Labels,"Max. Length"
HRT_LIL_MI,"Minor Issues","Problemas menores","HRT_LIL_MI
HtmlReportTemplate.tt LI_Link minorIssues",,
HRT_LIL_NTR,"Nothing to report","Nada que reportar","HRT_LIL_NTR
HtmlReportTemplate.tt LI_Link nothingToReport",,
HRT_LIL_R,Remarks,Observaciones,"HRT_LIL_R
HtmlReportTemplate.tt LI_Link remarks",,
HRT_LSM_E,"The report does not check for incompatibilities with these. Results might not be completely accurate. Use mods as Workshop subscription whenever possible. Mods copied to the local mods folder don't always work and often cannot be detected correctly by other mods.","El reporte no chequea incompatibilidades con estos. Puede que los resultados no sean precisos. Utilice mods como se indica en sus descripciones del Workshop. Mods en las carpetas locales no siempre funcionan y no pueden ser detectados por otros mods.","HRT_LSM_E
HtmlReportTemplate.tt Local subscription Mod Explain",,
HRT_LSM_P,"You have {LocalSubscriptionCount} local mods, which we can't review.","Tienes {LocalSubscriptionCount} mods locales,  los cuales no se pueden revisar.","HRT_LSM_P
HtmlReportTemplate.tt Local subscription Mod plural",,
HRT_LSM_S,"You have {LocalSubscriptionCount} local mod, which we can't review.","Tienes {LocalSubscriptionCount} mod local, el cual no se puede revisar.","HRT_LSM_S
HtmlReportTemplate.tt Local subscription Mod singular",,
HRT_NRS_N,"{NonReviewedSubscriptions} of your mods have not been reviewed yet. Some incompatibilities or warnings might be missing in the report due to this.","{NonReviewedSubscriptions} de tus mods no ha sido revisado aún. Alguna incompatibilidad o advertencia puede faltar en el reporte debido a esto.","HRT_NRS_N
HtmlReportTemplate.tt Non reviewed subscriptions Note",,
HRT_P_D,Disabled,Deshabilitado,"HRT_P_D
HtmlReportTemplate.tt processed Disabled",,
HRT_P_MN,"Mod Name","Nombre del Mod","HRT_P_MN
HtmlReportTemplate.tt processed Mod Name",,
HRT_P_PM,"Processed mods","Mods procesados","HRT_P_PM
HtmlReportTemplate.tt processed Processed mods",,
HRT_P_T,Type,Tipo,"HRT_P_T
HtmlReportTemplate.tt processed Type",,
HRT_P_U,URL,URL,"HRT_P_U
HtmlReportTemplate.tt processed Url",,
HRT_RS_MAIP,"MODS HAVE MAJOR ISSUES:","MODS CON PROBLEMAS MAYORES:","HRT_RS_MAIP
HtmlReportTemplate.tt RenderSection majorIssuesplural",,
HRT_RS_MAIS,"MOD HAS MAJOR ISSUES:","MOD CON PROBLEMAS MAYORES:","HRT_RS_MAIS
HtmlReportTemplate.tt RenderSection majorIssuessingular",,
HRT_RS_MIP,"MODS HAVE MINOR ISSUES:","MODS CON PROBLEMAS MENORES:","HRT_RS_MIP
HtmlReportTemplate.tt RenderSection minorIssuesplural",,
HRT_RS_MIS,"MOD HAS MINOR ISSUES:","MOD CON PROBLEMA MENORES:","HRT_RS_MIS
HtmlReportTemplate.tt RenderSection minorIssuessingular",,
HRT_RS_NTRP,"MODS WITH NOTHING TO REPORT:","MODS CON NADA QUE REPORTAR:","HRT_RS_NTRP
HtmlReportTemplate.tt RenderSection nothingToReportplural",,
HRT_RS_NTRS,"MOD WITH NOTHING TO REPORT:","MOD CON NADA QUE REPORTAR:","HRT_RS_NTRS
HtmlReportTemplate.tt RenderSection nothingToReportsingular",,
HRT_RS_RP,"MODS WITH REMARKS:","MODS CON OBSERVACIONES:","HRT_RS_RP
HtmlReportTemplate.tt RenderSection remarksplural",,
HRT_RS_RS,"MOD WITH REMARK:","MOD CON OBSERVACIONES:","HRT_RS_RS
HtmlReportTemplate.tt RenderSection remarkssingular",,
HRT_RS_UP,"MODS COULD OR SHOULD BE UNSUBSCRIBED:","MODS QUE PUEDEN O DEBEN ELIMINARSE (UNSUB):","HRT_RS_UP
HtmlReportTemplate.tt RenderSection unsubscribeplural",,
HRT_RS_US,"MOD COULD OR SHOULD BE UNSUBSCRIBED:","MOD QUE PUEDE OR DEBE ELIMINARSE (UNSUB):","HRT_RS_US
HtmlReportTemplate.tt RenderSection unsubscribesingular",,
HRT_S_CRC,"{name}, created on {date+time}","{name}, creado el {date+time}","HRT_S_CRC
HtmlReportTemplate.tt section CompatibilityReportCreated",,
HRT_S_MUA,"Mods updated after this date might have an outdated review below.","Mods actualizados después de esta fecha pueden estar desactualizados","HRT_S_MUA
HtmlReportTemplate.tt section Modsupdaterafter",,
HRT_S_TMCC,"The mod catalog contains {ReviewedModCount} reviewed mods and was created on {Updated}.","El catálogo contiene {ReviewedModCount} mods revisados y fue creado el {Updated}.","HRT_S_TMCC
HtmlReportTemplate.tt section Themodcatalogcontains",,
HRT_S_VWC,"Version {FullVersion} with catalog {VersionString}.","Versión {FullVersion} con catálogo {VersionString}.","HRT_S_VWC
HtmlReportTemplate.tt section Versionwithcatalog",,
HRT_S_YGM,"Your game has {SubscriptionCount} mods.","Tu juego tiene {SubscriptionCount} mods.","HRT_S_YGM
HtmlReportTemplate.tt section Yourgamemods",,
HRTC_A_SNU,"No source code published, making it hard to continue by another modder. Without source code it is also harder to ensure a mod not include malicious code.","No se ha publicado el código fuente, lo que dificulta su continuación por otro modder. Sin código fuente también es más difícil garantizar que un mod no incluya código malicioso.","HRTC_A_SNU
HtmlReportTemplateCode.cs abandoned SourceNotUpdated",,
HRTC_A_SURL,"Author activated that source code should be bundled with the mod but is not published. This make it harder to continue by another modder. Without source code it is also harder to ensure a mod not include malicious code.","El autor activó que el código fuente se incluyera con el mod, pero no se publicó. Esto hace que sea más difícil de continuar por otro modder. Sin código fuente también es más difícil asegurar que un mod no incluya código malicioso.","HRTC_A_SURL
HtmlReportTemplateCode.cs abandoned SourceUrl",,
HRTC_A_SM,"Some alternatives for this are (pick one, not all):","Algunas alternativas para este son (seleccione uno, no todos):","HRTC_A_SM
HtmlReportTemplateCode.cs Alternatives subscribedMod",,
HRTC_A_SMC,"An alternative you could use:","Una alternativa que puedes usar: ","HRTC_A_SMC
HtmlReportTemplateCode.cs Alternatives subscribedModCount",,
HRTC_BE_R,"If you use the asset editor and/or map editor, this may give serious issues.","Si utilizas el editor de elementos o editor de mapa, esto puede ocasionar problemas serios.","HRTC_BE_R
HtmlReportTemplateCode.cs BreaksEditors Remarks",,
HRTC_CRM_S,"Can't review local mods.","No se puede revisar mods locales.","HRTC_CRM_S
HtmlReportTemplateCode.cs cannotReviewMessage string",,
HRTC_CM_ID,Yes,Si,"HRTC_CM_ID
HtmlReportTemplateCode.cs catalogMod IsDisabled",,
HRTC_IRS_CATA,"This is compatible with:","Esto es compatible con:","HRTC_IRS_CATA
HtmlReportTemplateCode.cs IncreaseReportSeverity CompatibleAccordingToAuthor",,
HRTC_IRS_IATA,"Unsubscribe either this one or the following mod it's incompatible with:","Desuscribirse de este o el siguiente mod con el que es incompatible:","HRTC_IRS_IATA
HtmlReportTemplateCode.cs IncreaseReportSeverity IncompatibleAccordingToAuthor",,
HRTC_IRS_IATU,"Users report an incompatibility with:","Usuarios reportan incompatibilidad con:","HRTC_IRS_IATU
HtmlReportTemplateCode.cs IncreaseReportSeverity IncompatibleAccordingToUsers",,
HRTC_IRS_MAI,"This has major issues with:","Esto tiene problemas importantes con:","HRTC_IRS_MAI
HtmlReportTemplateCode.cs IncreaseReportSeverity MajorIssues and HtmlReportTemplate.tt LI_Link majorIssues)",,
HRTC_IRS_MI,"This has minor issues with:","Esto tiene problemas menores con:","HRTC_IRS_MI
HtmlReportTemplateCode.cs IncreaseReportSeverity MinorIssues",,
HRTC_IRS_RSS,"This requires specific configuration to work together with:","Esto requiere una configuración específica para funcionar con:","HRTC_IRS_RSS
HtmlReportTemplateCode.cs IncreaseReportSeverity RequiresSpecificSettings",,
HRTC_IRS_SF,"Unsubscribe either this or the following incompatible mod with similar functionality:","Desuscribirse de este o el siguiente mod incompatible con funcionalidad similar:","HRTC_IRS_SF
HtmlReportTemplateCode.cs IncreaseReportSeverity SameFunctionality",,
HRTC_IRS_SFC,"This has very similar functionality, but is still compatible with (do you need both?):","Esto tiene una funcionalidad muy similar, pero es compatible con (¿necesitas ambos?):","HRTC_IRS_SFC
HtmlReportTemplateCode.cs IncreaseReportSeverity SameFunctionalityCompatible",,
HRTC_IRS_SMDRT,"Unsubscribe either this or the other edition of the same mod:","Desuscribirse de esto o de la otra edición del mismo mod:","HRTC_IRS_SMDRT
HtmlReportTemplateCode.cs IncreaseReportSeverity SameModDifferentReleaseType",,
HRTC_I_B,"UNSUBSCRIBE! This mod is broken.","¡DESUSCRIBIRSE! Este mod no funciona.","HRTC_I_B
HtmlReportTemplateCode.cs Instability Broken",,
HRTC_I_GB,"UNSUBSCRIBE! This mod breaks the game.","¡DESUSCRIBIRSE! Este mod rompe el juego.","HRTC_I_GB
HtmlReportTemplateCode.cs Instability GameBreaking",,
HRTC_I_IATW,"UNSUBSCRIBE! This mod is totally incompatible with the current game version.","¡DESUSCRIBIRSE! Este mod es totalmente incompatible con la versión actual del juego.","HRTC_I_IATW
HtmlReportTemplateCode.cs Instability IncompatibleAccordingToWorkshop",,
HRTC_I_MAI,"Unsubscribe would be wise. This has major issues {StabilityNote}.","Desuscribirse sería prudente. Esto tiene problemas importantes {StabilityNote}.","HRTC_I_MAI
HtmlReportTemplateCode.cs Instability MajorIssues",,
HRTC_I_MAIC,"Check its Workshop page for details.","Revisa la página de Workshop para más detalles.","HRTC_I_MAIC
HtmlReportTemplateCode.cs Instability MajorIssuesCheck, MinorIssuesCheck and UsersReportIssuesCheck",,
HRTC_I_RIM,"UNSUBSCRIBE! This requires a mod that is totally incompatible with the current game version.","¡DESUSCRIBIRSE! Esto requiere un mod que es totalmente incompatible con la versión actual del juego.","HRTC_I_RIM
HtmlReportTemplateCode.cs Instability RequiresIncompatibleMod",,
HRTC_ICSM_S,"This is a cinematic camera script, which technically is a mod and thus listed here.","Este eb yb scruot de cámara cinemática, técnicamente es un mod y por esa razón esta listado aquí.","HRTC_ICSM_S
HtmlReportTemplateCode.cs isCameraScriptMessage string",,
HRTC_ID_U,"Enable this if you want to use it, or unsubscribe it. Disabled mods can cause issues.","Activa esto si deseas usarlo, o desuscribete. Los mods desactivados pueden causar problemas.","HRTC_ID_U
HtmlReportTemplateCode.cs IsDisabled Unsubscribe",,
HRTC_IMN_R,"None of your Steam Workshop mods need this, and it doesn't provide any functionality on its own.","Ninguno de tus mod del Steam Workshop necesita esto, y no provee ninguna funcionalidad por sí solo.","HRTC_IMN_R
HtmlReportTemplateCode.cs IsModNeeded Remarks",,
HRTC_IMN_RL,"Unsubscribe this unless it's needed for one of your local mods.","Anula tu suscripción a este mod, al menos que sea necesario por algunos de tus mods locales.","HRTC_IMN_RL
HtmlReportTemplateCode.cs IsModNeeded RemarksLocal",,
HRTC_IMN_U,"Unsubscribe this. It is only needed for mods you don't have, and it doesn't provide any functionality on its own.","Desuscribete de esto. Solo es necesitado por mods que no tienes, y no tiene ninguna funcionalidad por si sola.","HRTC_IMN_U
HtmlReportTemplateCode.cs IsModNeeded Unsubscribe",,
HRTC_IS_S,Steam,Steam,"HRTC_IS_S
HtmlReportTemplateCode.cs isSteam steam",,
HRT_LIL_U,Unsubscribe,Desuscribirse,"HRT_LIL_U
HtmlReportTemplateCode.cs LI_Link unsubscribe",,
HRTC_LLMID_BI,Built-in,Integrado,"HRTC_LLMID_BI
HtmlReportTemplateCode.cs LowestLocalModID builtin",,
HRTC_LLMID_L,Local,Local,"HRTC_LLMID_L
HtmlReportTemplateCode.cs LowestLocalModID local",,
HRTC_M_TV,"If you don't have a specific reason to use it, you'd better use the stable version instead.","Si no tienes una razón específica para usarla, es mejor que utilices la versión estable.","HRTC_M_TV
HtmlReportTemplateCode.cs Message TestVersion",,
HRTC_NCS_MI,"This mod has the comment section disabled on the Steam Workshop, making it hard to see if other users are experiencing issues. Use with caution.","Este mod tiene la sección de comentarios desactivada en la Steam Workshop, haciendo difícil ver si otros usuarios están experimentando problemas. Usar con precaución.","HRTC_NCS_MI
HtmlReportTemplateCode.cs NoCommentSection MinorIssues",,
HRTC_ND_MI,"This has no description on the Steam Workshop. Support from the author is unlikely.","Esto no tiene ninguna descripción en la Steam Workshop. Soporte del autor es improbable.","HRTC_ND_MI
HtmlReportTemplateCode.cs NoDescription MinorIssues",,
HRTC_NKIM_S,"No known issues or incompatibilities with your other mods.","No hay problemas conocidos o incompatibilidades con los otros mods.","HRTC_NKIM_S
HtmlReportTemplateCode.cs noKnownIssuesMessage string",,
HRTC_R2_SM,"The author or the users of this mod recommend using the following as well:","El autor o los usuarios de este mod recomiendan usar también lo siguiente:","HRTC_R2_SM
HtmlReportTemplateCode.cs Recommendations2 subscribedMod",,
HRTC_RDLC_U,"Unsubscribe this. It requires DLC you don't have:","Desuscribete de esto. Requiere un DLC que no tienes:","HRTC_RDLC_U
HtmlReportTemplateCode.cs RequiredDlc Unsubscribe",,
HRTC_RM_SM,"This mod requires other mods you don't have, or which are not enabled:","Este mod requiere otros mods que no tienes, o que no están habilitados.","HRTC_RM_SM
HtmlReportTemplateCode.cs RequiredMods subscribedMod",,
HRTC_RU_U,"Unsubscribe this. It is a re-upload of another mod, use that one instead (or its successor).","Anula tu suscripción a este mod. Es una versión duplicada, usa ese otro (o su sucesor).","HRTC_RU_U
HtmlReportTemplateCode.cs Reupload Unsubscribe",,
HRTC_I_MAS,"Unsubscribe would be wise. This has major issues: {StabilityNote}","Anular la suscripción sería ideal. Este tiene problemas mayores: {StabilityNote}","HRTC_I_MAS
HtmlReportTemplateCode.cs Stability MajorIssuesStabilityNote",,
HRTC_S_MI,"This has minor issues {StabilityNote}.","Este tiene problemas menores {StabilityNote}.","HRTC_S_MI
HtmlReportTemplateCode.cs Stability MinorIssues",,
HRTC_S_MIS,"This has minor issues: {StabilityNote}","Este tiene problemas menores: {StabilityNote}","HRTC_S_MIS
HtmlReportTemplateCode.cs Stability MinorIssuesStabilityNote",,
HRTC_S_NEI,"There is not enough information about this mod to know if it works well.","No hay información suficiente acerca de este mod para saber si funciona correctamente.","HRTC_S_NEI
HtmlReportTemplateCode.cs Stability NotEnoughInformation",,
HRTC_S_NEIC,"but it was updated for the current game version.","pero fue actualizado para la versión actual del juego.","HRTC_S_NEIC
HtmlReportTemplateCode.cs Stability NotEnoughInformationCurrent and NotReviewedCurrent",,
HRTC_S_NEIV,"but it was updated for game version {GameVersion}.","pero fue actualizado para la versión de juego {GameVersion}.","HRTC_S_NEIV
HtmlReportTemplateCode.cs Stability NotEnoughInformationVersion and NotReviewedVersion",,
HRTC_S_NR,"This mod has not been reviewed yet.","Este mod no ha sido revisado aun.","HRTC_S_NR
HtmlReportTemplateCode.cs Stability NotReviewed",,
HRTC_S_S,"This is compatible with the current game version.","Este es compatible con la versión actual del juego.","HRTC_S_S
HtmlReportTemplateCode.cs Stability Stable",,
HRTC_S_URS,"Users are reporting issues: {StabilityNote}","Usuarios están reportando problemas: {StabilityNote}","HRTC_S_URS
HtmlReportTemplateCode.cs Stability UserReportIssuesStabilityNote",,
HRTC_S_URI,"Users are reporting issues {StabilityNote}.","Usuarios están reportando problemas {StabilityNote}.","HRTC_S_URI
HtmlReportTemplateCode.cs Stability UsersReportIssues",,
HRTC_SS_TV,"This is a test version, but is considered quite stable.","Esta es una versión de testeo, pero se considera bastante estable.","HRTC_SS_TV
HtmlReportTemplateCode.cs StabilityStable TestVersion",,
HRTC_S_A,"This seems to be abandoned and the author seems retired. Future updates are unlikely.","Esto parece estar abandonado y el autor parece estar retirado. Actualizaciones futuras son improbables.","HRTC_S_A
HtmlReportTemplateCode.cs Statuses Abandoned",,
HRTC_S_AR,"The author seems to be retired. Future updates are unlikely.","El autor parece estar retirado. Las actualizaciones futuras son improbables.","HRTC_S_AR
HtmlReportTemplateCode.cs Statuses authorRetired",,
HRTC_S_D,"This is deprecated, no longer supported by the author and a successor is available. Therefore it would be wise to unsubscribe this mod and subscribe the successor instead.","Este mod está obsoleto, ya no cuenta con el apoyo del autor y hay un mod sucesor disponible. Por lo tanto, sería conveniente anular la suscripción a este mod y suscribirse al sucesor en su lugar.","HRTC_S_D
HtmlReportTemplateCode.cs Statuses Deprecated",,
HRTC_S_MFM,"This is only needed for modders or creators. Regular users don't need this one.","Esto solo es necesario para modders o creadores. Los usuarios comunes no lo necesitan.","HRTC_S_MFM
HtmlReportTemplateCode.cs Statuses ModForModders",,
HRTC_S_MC,"As the included music might be copyright protected, it is better not to use Music Packs for streaming to avoid legal issues.","Como la música incluida puede estar protegida por derechos de autor, es mejor no utilizar Music Packs para hacer streaming y así evitar problemas legales.","HRTC_S_MC
HtmlReportTemplateCode.cs Statuses MusicCopyright",,
HRTC_S_MCF,"The included music is said to be copyright-free and safe for streaming. Some restrictions might still apply though.","La música incluida parece estar libre de derechos de autor y debería ser segura para las transmisiones en vivo. Algunas restricciones podrían seguir aplicándose.","HRTC_S_MCF
HtmlReportTemplateCode.cs Statuses MusicCopyrightFree",,
HRTC_S_MCU,"This includes music with unknown copyright status. Safer not to use it for streaming.","Esto incluye música con estado de copyright desconocido. Lo mejor seria no usarlo en transmisiones en vivo.","HRTC_S_MCU
HtmlReportTemplateCode.cs Statuses MusicCopyrightUnknown",,
HRTC_S_NIAR,"This seems to be abandoned. Future updates are unlikely.","Parece ser que esto está abandonado. Actualizaciones futuras son improbables.","HRTC_S_NIAR
HtmlReportTemplateCode.cs Statuses nestedItemauthorRetired",,
HRTC_S_O,"Unsubscribe this. It is no longer needed.","Desuscribirse. Esto ya no es necesario.","HRTC_S_O
HtmlReportTemplateCode.cs Statuses Obsolete",,
HRTC_S_RFW,"Unsubscribe would be wise. This is no longer available on the Steam Workshop.","Anular la suscripción sería ideal. Este ya no está disponible en el Steam Workshop.","HRTC_S_RFW
HtmlReportTemplateCode.cs Statuses RemovedFromWorkshop",,
HRTC_S_SCLW,"NOTE: After using this mod, game saves won't (easily) load without it anymore.","NOTA: Después de utilizar este mod, los juegos salvados no podrán cargar (fácilmente) sin él.","HRTC_S_SCLW
HtmlReportTemplateCode.cs Statuses SavesCantLoadWithout",,
HRTC_S_TVA,"This is a test version. If you don't have a specific reason to use it, you'd better use the stable version instead.","Esta es una versión de prueba. SI no tienes alguna razón específica para usarlo, es mejor que utilices la versión estable.","HRTC_S_TVA
HtmlReportTemplateCode.cs Statuses TestVersion Alternatives",,
HRTC_SS_SM,"This is succeeded by any of the following (pick one, not all):","Este ha sido reemplazado por alguno de los siguientes (selecciona uno, no todos):","HRTC_SS_SM
HtmlReportTemplateCode.cs Successors subscribedMod",,
HRTC_S_SMC,"This is succeeded by:","Este ha sido reemplazado por:","HRTC_S_SMC
HtmlReportTemplateCode.cs Successors subscribedModCount",,
HRTC_S_U,"Unsubscribe this. It is succeeded by a mod you already have:","Anular la suscripción. Ha sido reemplazado por un mod que ya tienes:","HRTC_S_U
HtmlReportTemplateCode.cs Successors Unsubscribe",,
HRTC_S_WSP,"Workshop page:","Página del Workshop:","HRTC_S_WSP
HtmlReportTemplateCode.cs Successors WorkshopPage",,
REP_ATT_NEW,"ATTENTION: NEW GAME VERSION! The game has been updated. Various mods will not work with this new game version. Take care to get the most recent updates of all mods, and carefully read your report. It is possible you may even need to switch and subscribe to a new alternative version of a mod. If your city doesn't work right, do NOT overwrite its save! It might be wise to use ""-noWorkshop"" as start parameter to play pure Vanilla in a new city until all mods are updated or alternatives are available. (Warning: Saves that used mods may not load in vanilla mode!)  See Launch Options - Cities Skylines https://steamcommunity.com/sharedfiles/filedetails/?id=466981085 for further information. A list of broken mods is also available at https://pdxint.at/BrokenModCS.","ATENCIÓN: ¡NUEVA VERSION! El juego ha sido actualizado. Varios mods no funcionarán con esta nueva versión del juego. Tenga cuidado de tener las actualizaciones más recientes de todos los mods, y lea cuidadosamente el reporte. Es posible que incluso necesite cambiar y suscribirse a una nueva versión alternativa de un mod. Si tu ciudad no funciona correctamente, ¡NO sobrescriba su guardado! Podría ser aconsejable usar ""-noWorkshop"" como parámetro de lanzamiento para jugar en modo Vanilla en una nueva ciudad hasta que todos los mods se actualicen o este disponible una alternativa. (¡Advertencia: Los guardados que usaron mods no pueden cargarse en modo vanilla!) Ver Parametros de Lanzamiento - Cities Skylines https://steamcommunity. om/sharedfiles/filedetails/?id=466981085 para más información. También está disponible una lista de mods no funcionales en https://pdxint.at/BrokenModCS.","REP_ATT_NEW
Information about new game version",,
SET_BAO_AG,"Advanced options","Opciones avanzadas","SET_BAO_AG
SettingsUI.cs BuildAdvancedOptionsUI advancedGroup",,
SET_BAO_DM,"Debug Mode","Modo de depuración","SET_BAO_DM
SettingsUI.cs BuildAdvancedOptionsUI debugMode",,
SET_BAO_MLS,"Max log size (in KB)","Tamaño máximo del reporte (en KB)","SET_BAO_MLS
SettingsUI.cs BuildAdvancedOptionsUI maxLogSize",,
SET_BAO_MR,"Number of catalog download retries","Número de reintentos de descarga del catálogo","SET_BAO_MR
SettingsUI.cs BuildAdvancedOptionsUI maxRetries",,
SET_BAO_MVL,"Mod version","Versión del mod","SET_BAO_MVL
SettingsUI.cs BuildAdvancedOptionsUI modVersionLabel",,
SET_BAO_ORAS,"Reset all settings","Restablecer todos los ajustes","SET_BAO_ORAS
SettingsUI.cs BuildAdvancedOptionsUI OnResetAllSettings",,
SET_BAO_SBM,"Scan before entering Main Menu","Escanear antes de entrar al menú principal","SET_BAO_SBM
SettingsUI.cs BuildAdvancedOptionsUI scanBeforeMenu",,
SET_BCO_CG,"Catalog options","Opciones del catálogo","SET_BCO_CG
SettingsUI.cs BuildCatalogOptionsUI catalogGroup",,
SET_BCO_UIBD,"Download now","Descargar ahora","SET_BCO_UIBD
SettingsUI.cs BuildCatalogOptionsUI download",,
SET_BCO_DFD,Download,Descargar,"SET_BCO_DFD
SettingsUI.cs BuildCatalogOptionsUI downloadFrequencyDropdown",,
SET_BCO_SUIT,"Catalog version","Versión del catálogo","SET_BCO_SUIT
SettingsUI.cs BuildCatalogOptionsUI SettingsUIText",,
SET_BCO_TWF,"Text Report width","Ancho de Reporte de Texto","SET_BCO_TWF
SettingsUI.cs BuildCatalogOptionsUI textWidthField",,
SET_BRG_CPB,"Change path","Cambiar ruta","SET_BRG_CPB
SettingsUI.cs BuildRecordGroupUI changePathBtn",,
SET_BRG_LAN,Language,Idioma,"SET_BRG_LAN
SettingsUI.cs BuildRecordGroupUI Language",,
SET_BRG_NW,"'--noWorkshop' launch option detected. No report was generated","Se ha detectado el parámetro de lanzamiento '--noWorkshop'. No se ha generado el informe","SET_BRG_NW
SettingsUI.cs BuildRecordGroupUI noWorkshop",,
SET_BRG_OGR,"Generate report(s)","Generar reporte(s)","SET_BRG_OGR
SettingsUI.cs BuildRecordGroupUI OnGenerateReports",,
SET_BRG_OOF,"Open folder","Abrir carpeta","SET_BRG_OOF
SettingsUI.cs BuildRecordGroupUI OnOpenFolder",,
SET_BRG_OOR,"Open report(s)","Abrir reporte(s)","SET_BRG_OOR
SettingsUI.cs BuildRecordGroupUI OnOpenReports",,
SET_BRG_OHRISO,"Use Steam Overlay to open HTML report if available.","Usar el Overlay de Steam si está disponible.","SET_BRG_OHRISO
SettingsUI.cs BuildRecordGroupUI OpenHtmlReportInSteamOverlay",,
SET_BRG_PE,"Access to the Steam Workshop is required for the mod to work properly.","Acceso al Steam Workshop es requerido para que el mod funcione correctamente.","SET_BRG_PE
SettingsUI.cs BuildRecordGroupUI platformError",,
